"地域（2020年基準） コード","地域（2020年基準）","時間軸（年・月） コード","時間軸（年・月）","2020年基準品目 コード","2020年基準品目","/表章項目","指数","前月比・前年比・前年度比【%】","前年同月比【%】"
"00000","全国","2022000606","2022年6月","0054","0054 光熱・水道","","115.6","0.4","14.0"
"00000","全国","2021001212","2021年12月","0001","0001 総合","","100.1","0.0","0.8"
"00000","全国","2021001212","2021年12月","0002","0002 食料","","100.9","0.0","2.1"
"00000","全国","2021001212","2021年12月","0054","0054 光熱・水道","","107.1","1.0","11.2"
"00000","全国","2021000606","2021年6月","0001","0001 総合","","99.5","0.1","-0.5"
"00000","全国","2021000606","2021年6月","0002","0002 食料","","99.9","0.6","0.0"
"00000","全国","2021000606","2021年6月","0054","0054 光熱・水道","","101.4","0.7","1.0"
"00000","全国","2020001212","2020年12月","0001","0001 総合","","99.3","-0.2","-1.2"
"00000","全国","2020001212","2020年12月","0002","0002 食料","","98.8","-0.7","-0.8"
"00000","全国","2020001212","2020年12月","0054","0054 光熱・水道","","96.3","-0.8","-6.1"
"00000","全国","2020000606","2020年6月","0001","0001 総合","","99.9","-0.2","0.1"
"00000","全国","2020000606","2020年6月","0002","0002 食料","","99.9","-0.4","1.5"
"00000","全国","2020000606","2020年6月","0054","0054 光熱・水道","","100.5","-0.4","-2.0"
"00042","北海道地方","2025001212","2025年12月","0001","0001 総合","","115.4","-0.1","2.7"
"00042","北海道地方","2025001212","2025年12月","0002","0002 食料","","131.4","0.3","5.7"
"00042","北海道地方","2025001212","2025年12月","0054","0054 光熱・水道","","126.1","-0.3","0.6"
"00042","北海道地方","2025000606","2025年6月","0001","0001 総合","","113.7","-0.1","3.4"
"00042","北海道地方","2025000606","2025年6月","0002","0002 食料","","126.5","0.1","6.9"
"00042","北海道地方","2025000606","2025年6月","0054","0054 光熱・水道","","127.4","-1.0","3.6"
"00042","北海道地方","2024001212","2024年12月","0001","0001 総合","","112.4","0.7","3.8"
"00042","北海道地方","2024001212","2024年12月","0002","0002 食料","","124.3","2.0","6.8"
"00042","北海道地方","2024001212","2024年12月","0054","0054 光熱・水道","","125.3","2.6","7.4"
"00042","北海道地方","2024000606","2024年6月","0001","0001 総合","","110","0.3","3.1"
"00042","北海道地方","2024000606","2024年6月","0002","0002 食料","","118.4","-0.3","3.9"
"00042","北海道地方","2024000606","2024年6月","0054","0054 光熱・水道","","123","2.3","5.4"
"00042","北海道地方","2023001212","2023年12月","0001","0001 総合","","108.3","-0.2","2.7"
"00042","北海道地方","2023001212","2023年12月","0002","0002 食料","","116.4","-0.4","5.5"
"00042","北海道地方","2023001212","2023年12月","0054","0054 光熱・水道","","116.7","-0.3","-5.3"
"00042","北海道地方","2023000606","2023年6月","0001","0001 総合","","106.7","0.4","3.7"
"00042","北海道地方","2023000606","2023年6月","0002","0002 食料","","114","-0.6","9.0"
"00042","北海道地方","2023000606","2023年6月","0054","0054 光熱・水道","","116.7","6.9","-2.4"
"00042","北海道地方","2022001212","2022年12月","0001","0001 総合","","105.5","0.1","4.8"
"00042","北海道地方","2022001212","2022年12月","0002","0002 食料","","110.3","0.4","9.0"
"00042","北海道地方","2022001212","2022年12月","0054","0054 光熱・水道","","123.1","1.1","9.0"
"00042","北海道地方","2022000606","2022年6月","0001","0001 総合","","102.9","0.1","3.2"
"00042","北海道地方","2022000606","2022年6月","0002","0002 食料","","104.6","0.3","4.4"
"00042","北海道地方","2022000606","2022年6月","0054","0054 光熱・水道","","119.6","0.4","14.8"
"00042","北海道地方","2021001212","2021年12月","0001","0001 総合","","100.7","0.1","1.0"
"00042","北海道地方","2021001212","2021年12月","0002","0002 食料","","101.2","0.2","1.6"
"00042","北海道地方","2021001212","2021年12月","0054","0054 光熱・水道","","112.9","1.6","16.0"
"00042","北海道地方","2021000606","2021年6月","0001","0001 総合","","99.6","0.1","-0.2"
"00042","北海道地方","2021000606","2021年6月","0002","0002 食料","","100.2","0.3","-0.1"
"00042","北海道地方","2021000606","2021年6月","0054","0054 光熱・水道","","104.2","0.7","5.9"
"00042","北海道地方","2020001212","2020年12月","0001","0001 総合","","99.7","0.3","-1.2"
"00042","北海道地方","2020001212","2020年12月","0002","0002 食料","","99.6","0.3","-0.3"
"00042","北海道地方","2020001212","2020年12月","0054","0054 光熱・水道","","97.4","0.3","-7.3"
"00042","北海道地方","2020000606","2020年6月","0001","0001 総合","","99.9","-0.1","0.1"
"00042","北海道地方","2020000606","2020年6月","0002","0002 食料","","100.3","-0.5","2.8"
"00042","北海道地方","2020000606","2020年6月","0054","0054 光熱・水道","","98.3","-1.2","-5.6"
"00043","東北地方","2025001212","2025年12月","0001","0001 総合","","114.5","-0.1","2.1"
"00043","東北地方","2025001212","2025年12月","0002","0002 食料","","130.3","0.5","5.6"
"00043","東北地方","2025001212","2025年12月","0054","0054 光熱・水道","","120.1","-0.1","-0.6"
"00043","東北地方","2025000606","2025年6月","0001","0001 総合","","113.1","-0.2","3.1"
"00043","東北地方","2025000606","2025年6月","0002","0002 食料","","125.6","-0.1","6.8"
"00043","東北地方","2025000606","2025年6月","0054","0054 光熱・水道","","122.3","-1.1","3.5"
"00043","東北地方","2024001212","2024年12月","0001","0001 総合","","112.2","0.7","3.6"
"00043","東北地方","2024001212","2024年12月","0002","0002 食料","","123.5","1.0","6.3"
"00043","東北地方","2024001212","2024年12月","0054","0054 光熱・水道","","120.8","3.6","8.4"
"00043","東北地方","2024000606","2024年6月","0001","0001 総合","","109.7","0.1","3.1"
"00043","東北地方","2024000606","2024年6月","0002","0002 食料","","117.6","-0.5","4.0"
"00043","東北地方","2024000606","2024年6月","0054","0054 光熱・水道","","118.1","2.3","4.8"
"00043","東北地方","2023001212","2023年12月","0001","0001 総合","","108.2","0.1","3.3"
"00043","東北地方","2023001212","2023年12月","0002","0002 食料","","116.2","-0.2","7.1"
"00043","東北地方","2023001212","2023年12月","0054","0054 光熱・水道","","111.4","0.3","-7.8"
"00043","東北地方","2023000606","2023年6月","0001","0001 総合","","106.4","0.5","3.7"
"00043","東北地方","2023000606","2023年6月","0002","0002 食料","","113.1","-0.3","9.0"
"00043","東北地方","2023000606","2023年6月","0054","0054 光熱・水道","","112.6","6.8","-4.0"
"00043","東北地方","2022001212","2022年12月","0001","0001 総合","","104.7","0.4","4.3"
"00043","東北地方","2022001212","2022年12月","0002","0002 食料","","108.5","0.6","7.5"
"00043","東北地方","2022001212","2022年12月","0054","0054 光熱・水道","","120.8","2.4","10.0"
"00043","東北地方","2022000606","2022年6月","0001","0001 総合","","102.6","0.1","2.9"
"00043","東北地方","2022000606","2022年6月","0002","0002 食料","","103.8","0.0","3.6"
"00043","東北地方","2022000606","2022年6月","0054","0054 光熱・水道","","117.3","0.1","13.5"
"00043","東北地方","2021001212","2021年12月","0001","0001 総合","","100.5","0.0","1.2"
"00043","東北地方","2021001212","2021年12月","0002","0002 食料","","101","0.2","1.9"
"00043","東北地方","2021001212","2021年12月","0054","0054 光熱・水道","","109.7","0.8","12.9"
"00043","東北地方","2021000606","2021年6月","0001","0001 総合","","99.6","0.1","-0.2"
"00043","東北地方","2021000606","2021年6月","0002","0002 食料","","100.1","0.3","0.3"
"00043","東北地方","2021000606","2021年6月","0054","0054 光熱・水道","","103.4","1.0","4.5"
"00043","東北地方","2020001212","2020年12月","0001","0001 総合","","99.3","-0.3","-1.2"
"00043","東北地方","2020001212","2020年12月","0002","0002 食料","","99.1","-0.6","-0.2"
"00043","東北地方","2020001212","2020年12月","0054","0054 光熱・水道","","97.2","-0.4","-5.9"
"00043","東北地方","2020000606","2020年6月","0001","0001 総合","","99.8","-0.1","-0.1"
"00043","東北地方","2020000606","2020年6月","0002","0002 食料","","99.9","-0.4","2.0"
"00043","東北地方","2020000606","2020年6月","0054","0054 光熱・水道","","98.9","-0.2","-3.8"
"00044","関東地方","2025001212","2025年12月","0001","0001 総合","","112.6","-0.1","2.1"
"00044","関東地方","2025001212","2025年12月","0002","0002 食料","","127.8","0.1","4.8"
"00044","関東地方","2025001212","2025年12月","0054","0054 光熱・水道","","118.4","0.1","-1.5"
"00044","関東地方","2025000606","2025年6月","0001","0001 総合","","111.4","-0.1","3.2"
"00044","関東地方","2025000606","2025年6月","0002","0002 食料","","124","0.3","7.1"
"00044","関東地方","2025000606","2025年6月","0054","0054 光熱・水道","","120.3","-1.5","2.6"
"00044","関東地方","2024001212","2024年12月","0001","0001 総合","","110.3","0.6","3.4"
"00044","関東地方","2024001212","2024年12月","0002","0002 食料","","121.9","1.1","6.1"
"00044","関東地方","2024001212","2024年12月","0054","0054 光熱・水道","","120.2","4.3","11.3"
"00044","関東地方","2024000606","2024年6月","0001","0001 総合","","108","0.1","2.6"
"00044","関東地方","2024000606","2024年6月","0002","0002 食料","","115.9","-0.5","3.6"
"00044","関東地方","2024000606","2024年6月","0054","0054 光熱・水道","","117.2","3.1","6.5"
"00044","関東地方","2023001212","2023年12月","0001","0001 総合","","106.7","-0.1","2.5"
"00044","関東地方","2023001212","2023年12月","0002","0002 食料","","114.9","-0.3","6.9"
"00044","関東地方","2023001212","2023年12月","0054","0054 光熱・水道","","108","-0.1","-14.9"
"00044","関東地方","2023000606","2023年6月","0001","0001 総合","","105.2","0.0","3.3"
"00044","関東地方","2023000606","2023年6月","0002","0002 食料","","111.9","0.0","8.2"
"00044","関東地方","2023000606","2023年6月","0054","0054 光熱・水道","","110","1.9","-6.0"
"00044","関東地方","2022001212","2022年12月","0001","0001 総合","","104.1","0.2","4.0"
"00044","関東地方","2022001212","2022年12月","0002","0002 食料","","107.5","0.2","6.9"
"00044","関東地方","2022001212","2022年12月","0054","0054 光熱・水道","","126.9","1.8","19.4"
"00044","関東地方","2022000606","2022年6月","0001","0001 総合","","101.8","0.0","2.3"
"00044","関東地方","2022000606","2022年6月","0002","0002 食料","","103.4","0.2","3.7"
"00044","関東地方","2022000606","2022年6月","0054","0054 光熱・水道","","117","0.5","16.5"
"00044","関東地方","2021001212","2021年12月","0001","0001 総合","","100","0.0","0.8"
"00044","関東地方","2021001212","2021年12月","0002","0002 食料","","100.6","0.0","2.1"
"00044","関東地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.3","1.0","11.8"
"00044","関東地方","2021000606","2021年6月","0001","0001 総合","","99.5","0.1","-0.5"
"00044","関東地方","2021000606","2021年6月","0002","0002 食料","","99.7","0.5","-0.3"
"00044","関東地方","2021000606","2021年6月","0054","0054 光熱・水道","","100.4","0.9","-0.7"
"00044","関東地方","2020001212","2020年12月","0001","0001 総合","","99.2","-0.2","-1.3"
"00044","関東地方","2020001212","2020年12月","0002","0002 食料","","98.5","-0.7","-1.2"
"00044","関東地方","2020001212","2020年12月","0054","0054 光熱・水道","","95","-1.2","-7.1"
"00044","関東地方","2020000606","2020年6月","0001","0001 総合","","100","-0.2","0.1"
